user_id,product_id,product_category,interaction_type
U0000,148e103fcfcb37000b6e0392ea74c489,Premium Beauty > Premium Men's Grooming > Premium Colognes,view
U0000,8b083776a08a544f81ae9fa22e9b173c,Premium Beauty > Premium Makeup > Premium Nail Polish & Care,cart
U0000,a6c2be9daf2642fdca515a2fe4820d67,Personal Care > Incontinence > Incontinence Underwear,view
U0000,d3fec5647ad25315bee544520102514d,Premium Beauty > Premium Makeup > Premium Nail Polish & Care,view
U0000,8cac205f7e1a489757a4dc6aea98280a,Beauty > Makeup > Face Makeup,view
U0000,a123436404411db467ba2deecad6d5a9,Personal Care > Men's Essentials > Men's Bath & Body,view
U0000,8e7fe0b733e1807bdd1d9b46c78d0cf3,Personal Care > Bath & Body > Body Lotions & Creams,view
U0000,a20cfa3d9c589f728ba6678bf58ee03f,"Home > Appliances > Vacuums, Steamers & Floor Care",purchase
U0000,0cad6f791243bbbcf729869060d32b77,Premium Beauty > Premium Bath & Body > Premium Self Tanners,view
U0000,bd59341c693bbf447983086682199fa2,Premium Beauty > Premium Makeup > Premium Nail Polish & Care,view
U0000,232ffc83ff46d90f2f8b36f7cd9774be,Home Improvement > Paint > Paint Tools and Supplies,view
U0000,171082c34b19c66d97d8b3432e179c0f,Beauty > Beauty by Top Brands > Rimmel,view
U0000,63cdc44c56b3f82604062c8f72d83afa,Health > Sleep Better > Calm Your Mind,view
U0000,e151a78e2ddb8ed5ce0228d1a833a704,Beauty > Makeup > Nails,cart
U0000,2efcbffdbfca695f62184f9d69157adb,Beauty > Skin Care > Moisturizers,view
U0000,385aaa42caf3b023eded9593ed79cbab,Beauty > Hair Care > Hair Color,purchase
U0000,a432130e599a0af582fb0d74b97abb9b,Health > Vitamins & Supplements > Supplements,view
U0000,f4c6657d54092f0e436b353873b2005d,Premium Beauty > Premium Bath & Body > Premium Body Lotions,view
U0000,1030521004419479400000002000000000067944214US,Personal Care > Bath & Body > Body Lotions & Creams,view
U0000,ea0c6e9881626320c982044a4e8a698f,Seasonal > Stock Up Essentials > Health & Wellness Stock Up,view
U0000,b57f03b4a2ab440e96da78166db4b20e,Premium Beauty > Premium Bath & Body > Premium Body Hair Removal,purchase
U0000,b427815263d5ae22038d7d5a00d2c673,Personal Care > Bath & Body > Body Lotions & Creams,view
